"site","team","transect","spcode","start","stop","dieback","notes"
"PT2","AD",1,"HERB",24.4,27.5,,
"PT2","AD",1,"AGAHAV",25.2,25.4,,
"PT2","AD",1,"JUNCOA",24.4,27.9,5,
"PT2","AD",1,"NOLERU",28.4,29.9,,
"PT2","AD",1,"JUNFLA",30.6,35.5,,
"PT2","AD",1,"NOLERU",34.6,35.05,,
"PT2","AD",1,"NOLERU",33.6,33.62,,
"PT2","AD",1,"opplan",34.25,34.35,,
"PT2","AD",1,"JUNFLA",36.6,38.3,,
"PT2","AD",1,"HERB",36.5,36.7,,
"PT2","AD",1,"JUNDEP",38.7,39.9,30,
"PT2","AD",1,"PINCEM",40.2,42.7,5,
"PT2","AD",1,"PINCEM",43.6,44.9,60,
"PT2","AD",1,"NOLERU",43.3,43.7,,
"PT2","AD",1,"JUNDEP",47.1,48.8,80,
"PT2","AD",1,"HERB",49.4,49.6,,
"PT2","AD",2,"HERB",1,1.3,,
"PT2","AD",2,"PINCEM",0.7,2.1,15,
"PT2","AD",2,"HERB",4,4.1,,
"PT2","AD",2,"NOLERU",4.8,5.4,,
"PT2","AD",2,"PINCEM",4.5,5.1,15,
"PT2","AD",2,"PINCEM",7.4,11.1,5,
"PT2","AD",2,"JUNDEP",8,10.9,,
"PT2","AD",2,"JUNDEP",10.6,10.9,,
"PT2","AD",2,"HERB",11.3,11.5,,
"PT2","AD",2,"NOLERU",11.7,13.2,,
"PT2","AD",2,"JUNDEP",12.8,13.1,,
"PT2","AD",2,"JUNDEP",13.4,14.05,,
"PT2","AD",2,"JUNDEP",12.1,14.8,10,
"PT2","AD",2,"QUEGRI",16,16.1,50,
"PT2","AD",2,"PINCEM",15.6,16.7,100,
"PT2","AD",2,"HERB",18.5,19.2,,
"PT2","AD",2,"NOLERU",20.3,20.5,,
"PT2","AD",2,"OPUCHI",21.15,21.6,,
"PT2","AD",2,"OPUCHI",21.9,22.1,,
"PT2","AD",2,"QUEGRI",21.4,23.5,45,
"PT2","AD",2,"JUNDEP",22.8,23.4,5,
"PT2","AD",2,"QUEGRI",25,25.3,10,
"PT2","AD",2,"HERB",23.7,26,,
"PT2","AD",2,"PINCEM",24.6,24.7,,
"PT2","AD",2,"PINCEM",25.2,25.5,,
"PT2","AD",2,"NOLERU",26.8,26.85,,
"PT2","AD",2,"HERB",28.7,30.1,,
"PT2","AD",2,"HERB",32,32.3,,
"PT2","AD",2,"OPUCHI",34.5,34.55,,
"PT2","AD",2,"JUNDEP",34.6,35.4,5,
"PT2","AD",2,"QUEEMO",36.3,37.2,100,
"PT2","AD",2,"AGAHAV",36.2,36.35,,
